High-Level Practice,Sub-Practice,Quality Attributes,Commonly Adopted Tools
Container Construction,Environment Abstraction,Portability,Docker; Podman
Container Construction,Minimize Base Image,Performance Efficiency,Alpine Linux; Distroless Images
Container Construction,Multi-Stage Image Build,Portability; Maintainability,Docker; Buildkit; Kaniko; Podman
Container Construction,Image Versioning and Tagging,Reliability; Maintainability,Docker Hub; Harbor; Amazon ECR; Google Container 
Container Image Management,Container Image  Scanning,Security,Trivy; Aqua Security; Clair
Container Image Management,Contianer Access Control,Security; Maintainability,Harbor; Kubernetes RBAC
Container Image Management,Private  Container Registry,Portability; Maintainability; Reliability,Harbor; Amazon ECR; Azure Registry
Container Orchestration,Horizontal/Vertical Autoscaling,Scalability; Performance Efficiency; Reliability,Kubernetes HPA/VPA; KEDA
Container Orchestration,Storage Orchestration,Reliability; Scalability,Kubernetes Persistent Volumes; Storage Classes; Rook; Longhorn
Container Orchestration,Layer 4 Load Balancing,Scalability; Reliability; Performance Efficiency,Kubernetes Services; MetalLB; Calico; HAProxy
Container Orchestration,Dynamic Resource Allocation,Performance Efficiency; Reliability; Scalability,Kubernetes Scheduler
Container Orchestration,Replication Planning,Reliability; Resilience,Kubernetes Deployments; StatefulSets; ReplicaSets
Container Orchestration,Package Management,Maintainability; Portability,Helm; Kustomize; Operator Framework
Container Orchestration,"Self-Healing, Rollbacks, Rollouts",Reliability; Resilience,Kubernetes Deployments; Argo Rollouts;
Container Orchestration,Configuration Management,Maintainability; Portability,Kubernetes ConfigMaps; etcd; Consul
Container Orchestration,Audit Logging,Security; Observability,Kubernetes auditing
Container Orchestration,Secret Management,Security,Kubernetes Secrets; HashiCorp Vault; AWS Secrets Manager; Azure Key Vault;
Container Orchestration,Encryption and Key Management,Security,HashiCorp Vault; AWS KMS; Azure Key Vault;
Container Orchestration,Network Policy Enforcement,Security; Reliability,Calico;Open Policy Agent; Kyverno
Container Orchestration,Health Checks,Reliability; Resilience,Kubernetes Liveness Probes; Readiness Probes; Startup Probes
Service Mesh,Layer 7 Load Balancing,Scalability; Reliability; Performance Efficiency,Istio; Linkerd; Consul;
Service Mesh,Retries & Timeouts,Reliability; Security; Performance Efficiency,Istio; Envoy Proxy; Linkerd
